iso_code,country_name,date,total_doses,at_least_one_dose,fully_vaccinated,date_accessed
0,United States Of America,2021-06-04,303901512.0,175496518.0,139463472.0,2022-07-29
0,United States Of America,2021-02-19,57737767.0,41021049.0,16162358.0,2022-07-29
0,United States Of America,2021-03-05,82572848.0,54035670.0,27795980.0,2022-07-29
0,United States Of America,2021-08-27,371494885.0,211171378.0,174721090.0,2022-07-29
0,United States Of America,2022-01-28,529557157.0,254154147.0,208283579.0,2022-07-29
0,United States Of America,2022-02-04,534358094.0,253347587.0,209901589.0,2022-07-29
0,United States Of America,2021-10-29,424089661.0,230257485.0,194099507.0,2022-07-29
0,United States Of America,2021-03-12,98081045.0,64878318.0,33836768.0,2022-07-29
0,United States Of America,2021-01-29,26193682.0,21698606.0,4263056.0,2022-07-29
0,United States Of America,2021-08-13,359527546.0,203593394.0,169875076.0,2022-07-29
0,United States Of America,2022-04-29,567051147.0,268267895.0,216991112.0,2022-07-29
0,United States Of America,2021-05-14,266399739.0,156734023.0,119018458.0,2022-07-29
0,United States Of America,2021-08-09,353040395.0,199697448.0,167055993.0,2022-07-29
0,United States Of America,2021-06-18,320956125.0,182320839.0,150400977.0,2022-07-29
0,United States Of America,2021-08-20,365305177.0,207372509.0,172106601.0,2022-07-29
0,United States Of America,2021-10-22,417226402.0,228647216.0,192534070.0,2022-07-29
0,United States Of America,2021-05-21,285612999.0,166244237.0,129417460.0,2022-07-29
0,United States Of America,2021-07-30,349691728.0,196798697.0,166367343.0,2022-07-29
0,United States Of America,2021-12-23,491071352.0,243607777.0,202240574.0,2022-07-29
0,United States Of America,2022-05-06,570102931.0,270336718.0,217410632.0,2022-07-29
0,United States Of America,2021-05-28,296902058.0,171965934.0,135588434.0,2022-07-29
0,United States Of America,2021-11-05,433098172.0,231213785.0,196070467.0,2022-07-29
0,United States Of America,2021-12-31,501207401.0,246091820.0,203452393.0,2022-07-29
0,United States Of America,2022-01-07,508619215.0,248257929.0,204645959.0,2022-07-29
0,United States Of America,2021-08-06,354619464.0,200179828.0,168148712.0,2022-07-29
0,United States Of America,2022-01-14,517645392.0,250734710.0,206200249.0,2022-07-29
0,United States Of America,2022-01-21,525163908.0,252839739.0,207452797.0,2022-07-29
0,United States Of America,2022-04-08,556413208.0,260933188.0,215585527.0,2022-07-29
0,United States Of America,2021-05-07,258168767.0,155209826.0,111670822.0,2022-07-29
