entity,date,total_doses,at_least_one_dose,fully_vaccinated,persons_booster_add_dose,source,country_name,date_accessed
ANGOLA,2022-07-03,20701915.0,13275026.0,7226565.0,808939.0,,Angola,2022-07-29
BURUNDI,2022-05-29,15595.0,13754.0,13177.0,,,Burundi,2022-07-29
BENIN,2022-05-29,3621913.0,3162977.0,2630438.0,,,Benin,2022-07-29
BURKINA FASO,2022-05-29,2938917.0,2441101.0,1546432.0,,,Burkina Faso,2022-07-29
BOTSWANA,2022-05-29,2330589.0,1693991.0,1507508.0,366735.0,,Botswana,2022-07-29
CENTRAL AFRICAN REPUBLIC,2022-05-29,1185512.0,1100920.0,1044536.0,,,Central African Republic,2022-07-29
CÔTE D’IVOIRE,2022-05-29,12753769.0,8026397.0,5540193.0,87290.0,,Côte D’Ivoire,2022-07-29
CAMEROON,2022-05-29,1836998.0,1558358.0,1215146.0,52011.0,,Cameroon,2022-07-29
DEMOCRATIC REPUBLIC OF THE CONGO,2022-05-29,2671606.0,2136131.0,1429658.0,,,Democratic Republic Of The Congo,2022-07-29
CONGO,2022-05-29,831318.0,693902.0,652422.0,,,Congo,2022-07-29
COMOROS,2022-05-29,642320.0,341302.0,301218.0,,,Comoros,2022-07-29
CABO VERDE,2022-05-29,762486.0,355232.0,307398.0,142.0,,Cabo Verde,2022-07-29
ALGERIA,2022-05-29,15205854.0,7840131.0,6481186.0,514063.0,,Algeria,2022-07-29
ETHIOPIA,2022-05-29,29419678.0,24770491.0,21292024.0,346411.0,,Ethiopia,2022-07-29
GABON,2022-05-29,558456.0,308235.0,255914.0,2249.0,,Gabon,2022-07-29
GHANA,2022-05-29,16203630.0,9786631.0,6410470.0,570557.0,,Ghana,2022-07-29
GUINEA,2022-05-29,6127699.0,4477740.0,2511039.0,,,Guinea,2022-07-29
GAMBIA,2022-05-29,720000.0,449464.0,354340.0,9007.0,,Gambia,2022-07-29
GUINEA-BISSAU,2022-05-29,562717.0,529346.0,341781.0,81.0,,Guinea-Bissau,2022-07-29
EQUATORIAL GUINEA,2022-05-29,479991.0,265505.0,206762.0,3044.0,,Equatorial Guinea,2022-07-29
KENYA,2022-05-29,18335254.0,12562514.0,9205258.0,327109.0,,Kenya,2022-07-29
LIBERIA,2022-05-29,1996703.0,1751520.0,1438154.0,1912.0,,Liberia,2022-07-29
LESOTHO,2022-05-29,948906.0,1014456.0,739962.0,,,Lesotho,2022-07-29
MADAGASCAR,2022-05-29,2369775.0,1290584.0,1199011.0,43528.0,,Madagascar,2022-07-29
MALI,2022-05-29,2199134.0,1599332.0,1179291.0,,,Mali,2022-07-29
MOZAMBIQUE,2022-05-29,31616078.0,14978771.0,14098645.0,353032.0,,Mozambique,2022-07-29
MAURITANIA,2022-05-29,2838929.0,1919714.0,1328653.0,213042.0,,Mauritania,2022-07-29
MAURITIUS,2022-05-29,2548623.0,976846.0,944294.0,620077.0,,Mauritius,2022-07-29
MALAWI,2022-05-29,2166402.0,1596607.0,1139589.0,740.0,,Malawi,2022-07-29
NAMIBIA,2022-05-29,825518.0,496475.0,426681.0,64392.0,,Namibia,2022-07-29
NIGER,2022-05-29,2696007.0,2193752.0,1552499.0,,,Niger,2022-07-29
NIGERIA,2022-05-29,43994555.0,27401621.0,16817979.0,942369.0,,Nigeria,2022-07-29
RWANDA,2022-05-29,22214312.0,9061143.0,8527099.0,4626070.0,,Rwanda,2022-07-29
SENEGAL,2022-05-29,2080111.0,1421720.0,1051041.0,7027.0,,Senegal,2022-07-29
SIERRA LEONE,2022-05-29,2930408.0,2383636.0,1659093.0,,,Sierra Leone,2022-07-29
SOUTH SUDAN,2022-05-29,1045810.0,996197.0,953551.0,,,South Sudan,2022-07-29
SAO TOME AND PRINCIPE,2022-05-29,208657.0,113708.0,86914.0,2685.0,,Sao Tome And Principe,2022-07-29
ESWATINI,2022-05-29,535393.0,387468.0,336066.0,66331.0,,Eswatini,2022-07-29
SEYCHELLES,2022-05-29,221500.0,84851.0,80638.0,38233.0,,Seychelles,2022-07-29
CHAD,2022-05-29,2355126.0,2216437.0,2091466.0,,,Chad,2022-07-29
TOGO,2022-05-29,3290821.0,2086764.0,1557538.0,58601.0,,Togo,2022-07-29
UNITED REPUBLIC OF TANZANIA,2022-05-29,7967468.0,6483895.0,3915900.0,,,United Republic Of Tanzania,2022-07-29
UGANDA,2022-05-29,21044430.0,15753703.0,10663135.0,74990.0,,Uganda,2022-07-29
SOUTH AFRICA,2022-05-29,36015744.0,22897122.0,19924113.0,3168105.0,,South Africa,2022-07-29
ZAMBIA,2022-05-29,3750417.0,4656681.0,2935333.0,95513.0,,Zambia,2022-07-29
ZIMBABWE,2022-05-29,10736375.0,6219102.0,4517273.0,806578.0,,Zimbabwe,2022-07-29
BENIN,2021-05-10,10051.0,10051.0,,,,Benin,2022-07-29
BENIN,2021-07-19,52562.0,40269.0,12293.0,,,Benin,2022-07-29
BENIN,2021-10-12,252698.0,216527.0,186951.0,,,Benin,2022-07-29
BENIN,2021-12-12,1425408.0,1363471.0,1062378.0,,,Benin,2022-07-29
BENIN,2021-04-27,5284.0,5284.0,,,,Benin,2022-07-29
BENIN,2021-12-09,1144390.0,1087430.0,877113.0,,,Benin,2022-07-29
BENIN,2021-04-28,10051.0,10051.0,,,,Benin,2022-07-29
BENIN,2021-10-05,239496.0,63708.0,175788.0,,,Benin,2022-07-29
BENIN,2021-12-27,1773592.0,1699784.0,1319264.0,,,Benin,2022-07-29
BENIN,2022-04-07,3112919.0,3065188.0,2520562.0,,,Benin,2022-07-29
BENIN,2021-09-27,226269.0,62089.0,164180.0,,,Benin,2022-07-29
BENIN,2021-04-19,5284.0,5284.0,,,,Benin,2022-07-29
BENIN,2021-09-21,214396.0,60926.0,153470.0,,,Benin,2022-07-29
BENIN,2021-12-21,1628352.0,1561336.0,1199635.0,,,Benin,2022-07-29
BENIN,2021-04-21,5284.0,5284.0,,,,Benin,2022-07-29
BENIN,2021-09-16,197092.0,59330.0,137762.0,,,Benin,2022-07-29
BENIN,2021-11-19,383501.0,339452.0,297726.0,,,Benin,2022-07-29
BENIN,2022-03-08,3060435.0,2777245.0,2214327.0,,,Benin,2022-07-29
BENIN,2021-07-05,46108.0,36188.0,9920.0,,,Benin,2022-07-29
BENIN,2021-11-30,827261.0,774881.0,652351.0,,,Benin,2022-07-29
BENIN,2022-03-22,3333450.0,2955274.0,2430934.0,,,Benin,2022-07-29
BENIN,2021-09-07,175926.0,58040.0,117886.0,,,Benin,2022-07-29
BENIN,2021-06-20,26518.0,21834.0,4790.0,,,Benin,2022-07-29
BENIN,2021-06-28,46108.0,36188.0,9920.0,,,Benin,2022-07-29
BENIN,2021-07-13,52563.0,40270.0,12293.0,,,Benin,2022-07-29
BENIN,2021-04-14,5284.0,5284.0,,,,Benin,2022-07-29
BENIN,2021-11-15,347270.0,304596.0,265501.0,,,Benin,2022-07-29
BENIN,2022-02-22,2788620.0,2591583.0,2013843.0,,,Benin,2022-07-29
BENIN,2021-06-17,26624.0,21834.0,4790.0,,,Benin,2022-07-29
BENIN,2021-06-10,26624.0,21834.0,4790.0,,,Benin,2022-07-29
BENIN,2021-09-20,214396.0,60926.0,153470.0,,,Benin,2022-07-29
BENIN,2021-07-12,52563.0,40270.0,12293.0,,,Benin,2022-07-29
BENIN,2021-06-14,26624.0,21834.0,4790.0,,,Benin,2022-07-29
BENIN,2021-08-23,120333.0,55669.0,64664.0,,,Benin,2022-07-29
BENIN,2021-05-31,12934.0,12516.0,377.0,,,Benin,2022-07-29
BENIN,2022-02-04,2391396.0,2269942.0,1767745.0,,,Benin,2022-07-29
BENIN,2021-06-24,26518.0,21834.0,4790.0,,,Benin,2022-07-29
BENIN,2021-09-01,152699.0,56951.0,95748.0,,,Benin,2022-07-29
BENIN,2021-10-28,277614.0,238775.0,207440.0,,,Benin,2022-07-29
BENIN,2021-11-02,310321.0,269540.0,234686.0,,,Benin,2022-07-29
BENIN,2022-05-15,3333450.0,3157864.0,2625325.0,,,Benin,2022-07-29
BENIN,2021-08-16,72999.0,50751.0,22221.0,,,Benin,2022-07-29
BENIN,2021-06-15,26624.0,21834.0,4790.0,,,Benin,2022-07-29
BENIN,2022-05-22,3619590.0,3160654.0,2628115.0,,,Benin,2022-07-29
BENIN,2021-11-08,347270.0,304596.0,265501.0,,,Benin,2022-07-29
BENIN,2021-05-21,12934.0,12516.0,377.0,,,Benin,2022-07-29
BENIN,2021-05-26,12934.0,12516.0,377.0,,,Benin,2022-07-29
BENIN,2022-01-18,2138322.0,2039793.0,1625516.0,,,Benin,2022-07-29
BENIN,2022-05-08,3333450.0,3157864.0,2625325.0,,,Benin,2022-07-29
BENIN,2021-08-09,70323.0,48918.0,21405.0,,,Benin,2022-07-29
BENIN,2021-05-18,10683.0,10683.0,,,,Benin,2022-07-29
BENIN,2021-08-03,70323.0,48918.0,21405.0,,,Benin,2022-07-29
BENIN,2022-01-03,1897214.0,1815764.0,1421442.0,,,Benin,2022-07-29
BENIN,2022-05-01,3333450.0,3154360.0,2621821.0,200.0,,Benin,2022-07-29
BENIN,2021-08-20,96579.0,54367.0,42212.0,,,Benin,2022-07-29
BENIN,2021-06-08,26624.0,21834.0,4790.0,,,Benin,2022-07-29
BENIN,2021-07-26,57886.0,43377.0,14599.0,,,Benin,2022-07-29
BENIN,2022-04-26,3333450.0,3152148.0,2619609.0,,,Benin,2022-07-29
BENIN,2021-10-22,277614.0,238775.0,207440.0,,,Benin,2022-07-29
BENIN,2022-04-24,3333450.0,3152148.0,2619609.0,,,Benin,2022-07-29
BENIN,2022-04-17,3333450.0,3150980.0,2618474.0,,,Benin,2022-07-29
BENIN,2021-07-24,57886.0,43377.0,14599.0,,,Benin,2022-07-29
BENIN,2021-05-05,10051.0,10051.0,,,,Benin,2022-07-29
BENIN,2021-05-12,10683.0,10683.0,,,,Benin,2022-07-29
BENIN,2021-04-26,5284.0,5284.0,,,,Benin,2022-07-29
BENIN,2021-05-14,10683.0,10683.0,,,,Benin,2022-07-29
BENIN,2021-10-13,252698.0,216527.0,186951.0,,,Benin,2022-07-29
BENIN,2021-05-24,12934.0,12516.0,377.0,,,Benin,2022-07-29
BENIN,2021-05-03,10051.0,10051.0,,,,Benin,2022-07-29
GAMBIA,2021-09-21,207195.0,183739.0,170920.0,,,Gambia,2022-07-29
GAMBIA,2021-12-02,271166.0,239974.0,226037.0,,,Gambia,2022-07-29
GAMBIA,2021-12-11,273365.0,242172.0,228236.0,,,Gambia,2022-07-29
GAMBIA,2021-05-12,25445.0,25445.0,,,,Gambia,2022-07-29
GAMBIA,2021-05-14,25445.0,25445.0,,,,Gambia,2022-07-29
GAMBIA,2021-04-21,20086.0,20086.0,,,,Gambia,2022-07-29
GAMBIA,2021-09-02,198322.0,198482.0,20547.0,,,Gambia,2022-07-29
GAMBIA,2022-03-14,363353.0,331266.0,318161.0,,,Gambia,2022-07-29
GAMBIA,2021-03-24,691.0,,,,,Gambia,2022-07-29
GAMBIA,2021-09-29,208379.0,184817.0,171987.0,,,Gambia,2022-07-29
GAMBIA,2021-10-02,208379.0,185385.0,23834.0,,,Gambia,2022-07-29
GAMBIA,2022-03-20,363353.0,331266.0,318161.0,,,Gambia,2022-07-29
GAMBIA,2021-11-21,268008.0,236834.0,222890.0,,,Gambia,2022-07-29
GAMBIA,2021-07-05,40810.0,30421.0,7355.0,,,Gambia,2022-07-29
GAMBIA,2021-11-05,267644.0,236470.0,222526.0,,,Gambia,2022-07-29
GAMBIA,2021-04-12,16630.0,16630.0,,,,Gambia,2022-07-29
GAMBIA,2021-04-19,18428.0,18428.0,,,,Gambia,2022-07-29
GAMBIA,2021-03-26,6833.0,,,,,Gambia,2022-07-29
GAMBIA,2021-06-20,40810.0,30421.0,7355.0,,,Gambia,2022-07-29
GAMBIA,2021-06-28,40810.0,30421.0,7355.0,,,Gambia,2022-07-29
GAMBIA,2021-04-05,10320.0,,,,,Gambia,2022-07-29
GAMBIA,2021-07-12,40810.0,30421.0,7355.0,,,Gambia,2022-07-29
GAMBIA,2021-07-13,40810.0,30421.0,7355.0,,,Gambia,2022-07-29
GAMBIA,2021-06-10,40810.0,30421.0,7355.0,,,Gambia,2022-07-29
GAMBIA,2021-06-15,40810.0,30421.0,7355.0,,,Gambia,2022-07-29
GAMBIA,2021-06-17,40810.0,30421.0,7355.0,,,Gambia,2022-07-29
GAMBIA,2022-05-22,720000.0,449464.0,354340.0,9007.0,,Gambia,2022-07-29
GAMBIA,2021-11-14,267644.0,236470.0,222526.0,,,Gambia,2022-07-29
GAMBIA,2021-06-24,40810.0,30421.0,7355.0,,,Gambia,2022-07-29
GAMBIA,2021-05-31,29148.0,29148.0,4671.0,,,Gambia,2022-07-29
GAMBIA,2021-06-08,40810.0,30421.0,7355.0,,,Gambia,2022-07-29
GAMBIA,2021-08-09,40810.0,30421.0,7355.0,,,Gambia,2022-07-29
GAMBIA,2021-06-14,40810.0,30421.0,7355.0,,,Gambia,2022-07-29
GAMBIA,2022-02-16,362079.0,330027.0,316887.0,,,Gambia,2022-07-29
GAMBIA,2021-08-16,40810.0,30421.0,7355.0,,,Gambia,2022-07-29
GAMBIA,2021-05-18,25779.0,25779.0,,,,Gambia,2022-07-29
GAMBIA,2021-05-24,26893.0,26593.0,300.0,,,Gambia,2022-07-29
GAMBIA,2021-08-23,40810.0,30421.0,7355.0,,,Gambia,2022-07-29
GAMBIA,2021-08-26,189196.0,35711.0,154657.0,,,Gambia,2022-07-29
GAMBIA,2022-05-15,649588.0,378743.0,338382.0,3573.0,,Gambia,2022-07-29
GAMBIA,2021-05-21,26893.0,26593.0,300.0,,,Gambia,2022-07-29
GAMBIA,2021-05-26,26893.0,26593.0,300.0,,,Gambia,2022-07-29
GAMBIA,2021-07-24,40810.0,30421.0,7355.0,,,Gambia,2022-07-29
GAMBIA,2021-10-31,265620.0,234461.0,220502.0,,,Gambia,2022-07-29
GAMBIA,2022-01-21,349875.0,317855.0,304688.0,,,Gambia,2022-07-29
GAMBIA,2021-08-20,40810.0,30421.0,7355.0,,,Gambia,2022-07-29
GAMBIA,2021-08-03,40810.0,30421.0,7355.0,,,Gambia,2022-07-29
GAMBIA,2021-10-24,208379.0,228018.0,271719.0,,,Gambia,2022-07-29
GAMBIA,2021-10-13,208379.0,194432.0,183923.0,,,Gambia,2022-07-29
GAMBIA,2021-07-26,40810.0,30421.0,7355.0,,,Gambia,2022-07-29
GAMBIA,2021-10-26,258505.0,230412.0,216356.0,,,Gambia,2022-07-29
GAMBIA,2021-11-06,267263.0,236070.0,222118.0,,,Gambia,2022-07-29
GAMBIA,2021-05-03,23916.0,23916.0,,,,Gambia,2022-07-29
GAMBIA,2021-05-10,24659.0,24659.0,,,,Gambia,2022-07-29
GAMBIA,2021-07-19,40810.0,30421.0,7355.0,,,Gambia,2022-07-29
GAMBIA,2021-12-14,276276.0,245081.0,230044.0,,,Gambia,2022-07-29
GAMBIA,2021-05-05,23916.0,23916.0,,,,Gambia,2022-07-29
GAMBIA,2021-12-28,280797.0,249364.0,235633.0,,,Gambia,2022-07-29
GAMBIA,2021-04-26,20922.0,20922.0,,,,Gambia,2022-07-29
GAMBIA,2021-04-27,21259.0,21259.0,,,,Gambia,2022-07-29
GAMBIA,2021-04-14,17510.0,17510.0,,,,Gambia,2022-07-29
GAMBIA,2021-04-28,21259.0,21259.0,,,,Gambia,2022-07-29
UGANDA,2021-05-03,354736.0,354736.0,,,,Uganda,2022-07-29
UGANDA,2021-05-12,396103.0,396103.0,,,,Uganda,2022-07-29
UGANDA,2021-04-26,232631.0,232631.0,,,,Uganda,2022-07-29
UGANDA,2022-03-14,17197954.0,14131307.0,8014082.0,23898.0,,Uganda,2022-07-29
UGANDA,2021-03-24,28761.0,,,,,Uganda,2022-07-29
UGANDA,2021-04-05,103036.0,,,,,Uganda,2022-07-29
UGANDA,2021-07-12,1058084.0,872914.0,185170.0,,,Uganda,2022-07-29
UGANDA,2021-10-13,4751422.0,3838439.0,912983.0,,,Uganda,2022-07-29
UGANDA,2022-03-09,17060289.0,14054059.0,2985472.0,20758.0,,Uganda,2022-07-29
UGANDA,2022-02-21,16254268.0,13531724.0,2706785.0,15759.0,,Uganda,2022-07-29
UGANDA,2022-05-22,21044430.0,15753703.0,10663135.0,54546.0,,Uganda,2022-07-29
UGANDA,2021-11-15,4751422.0,3838439.0,912983.0,,,Uganda,2022-07-29
UGANDA,2021-06-24,935184.0,841629.0,93555.0,,,Uganda,2022-07-29
UGANDA,2021-06-20,831213.0,780736.0,50477.0,,,Uganda,2022-07-29
UGANDA,2021-06-28,937417.0,843639.0,93555.0,,,Uganda,2022-07-29
UGANDA,2021-06-14,831213.0,780736.0,50477.0,,,Uganda,2022-07-29
UGANDA,2021-06-15,831213.0,780736.0,50477.0,,,Uganda,2022-07-29
UGANDA,2021-03-13,1215.0,1215.0,,,,Uganda,2022-07-29
UGANDA,2021-06-17,831213.0,780736.0,50477.0,,,Uganda,2022-07-29
UGANDA,2022-01-31,12911692.0,10896664.0,2015028.0,,,Uganda,2022-07-29
UGANDA,2022-02-07,14973293.0,12742231.0,10544040.0,15759.0,,Uganda,2022-07-29
UGANDA,2022-05-08,20899440.0,15686085.0,10568519.0,65835.0,,Uganda,2022-07-29
UGANDA,2021-05-26,539540.0,539540.0,,,,Uganda,2022-07-29
UGANDA,2021-08-23,1163451.0,901900.0,242310.0,,,Uganda,2022-07-29
UGANDA,2022-05-15,20899440.0,15746111.0,10643058.0,65835.0,,Uganda,2022-07-29
UGANDA,2021-05-31,604748.0,604748.0,,,,Uganda,2022-07-29
UGANDA,2021-06-08,768434.0,728894.0,39540.0,,,Uganda,2022-07-29
UGANDA,2021-08-09,1123221.0,889617.0,232892.0,,,Uganda,2022-07-29
UGANDA,2022-01-23,12599741.0,10669724.0,1930017.0,,,Uganda,2022-07-29
UGANDA,2022-04-17,19643808.0,15405349.0,10231487.0,54546.0,,Uganda,2022-07-29
UGANDA,2021-05-21,476628.0,476628.0,,,,Uganda,2022-07-29
UGANDA,2021-06-10,788190.0,745449.0,42741.0,,,Uganda,2022-07-29
UGANDA,2021-08-20,1163451.0,901900.0,242310.0,,,Uganda,2022-07-29
UGANDA,2022-05-01,20223978.0,15409049.0,10250742.0,54546.0,,Uganda,2022-07-29
UGANDA,2021-05-18,418938.0,4189938.0,,,,Uganda,2022-07-29
UGANDA,2021-08-16,1163451.0,901900.0,242310.0,,,Uganda,2022-07-29
UGANDA,2021-05-24,498971.0,498971.0,,,,Uganda,2022-07-29
UGANDA,2021-07-26,1058084.0,881645.0,185170.0,,,Uganda,2022-07-29
UGANDA,2021-07-24,1058084.0,881645.0,185170.0,,,Uganda,2022-07-29
UGANDA,2022-01-10,12220106.0,10410479.0,1809627.0,,,Uganda,2022-07-29
UGANDA,2021-08-03,1117134.0,884242.0,232892.0,,,Uganda,2022-07-29
UGANDA,2021-05-10,396103.0,396103.0,,,,Uganda,2022-07-29
UGANDA,2021-07-19,1058084.0,881645.0,185170.0,,,Uganda,2022-07-29
UGANDA,2021-10-11,2378171.0,1794105.0,584066.0,,,Uganda,2022-07-29
UGANDA,2022-04-26,19643808.0,15409049.0,10235247.0,54546.0,,Uganda,2022-07-29
UGANDA,2021-10-25,2854082.0,2216950.0,637132.0,,,Uganda,2022-07-29
UGANDA,2022-04-24,19643808.0,15409049.0,10235247.0,54546.0,,Uganda,2022-07-29
UGANDA,2022-03-29,17605945.0,14247523.0,8014082.0,29385.0,,Uganda,2022-07-29
UGANDA,2021-04-12,180969.0,180969.0,,,,Uganda,2022-07-29
UGANDA,2021-12-20,9763030.0,8354808.0,1408222.0,,,Uganda,2022-07-29
UGANDA,2021-04-21,232631.0,232631.0,,,,Uganda,2022-07-29
UGANDA,2021-05-05,354736.0,354736.0,,,,Uganda,2022-07-29
UGANDA,2021-05-14,396103.0,396103.0,,,,Uganda,2022-07-29
UGANDA,2021-09-01,1436264.0,1030447.0,366658.0,,,Uganda,2022-07-29
UGANDA,2022-02-28,16672943.0,13809794.0,7679657.0,18067.0,,Uganda,2022-07-29
UGANDA,2021-12-09,7813170.0,6525371.0,1287799.0,,,Uganda,2022-07-29
UGANDA,2021-04-14,208074.0,200000.0,,,,Uganda,2022-07-29
UGANDA,2021-04-28,232631.0,232631.0,,,,Uganda,2022-07-29
UGANDA,2021-04-19,208708.0,208708.0,,,,Uganda,2022-07-29
UGANDA,2021-03-18,4972.0,,,,,Uganda,2022-07-29
UGANDA,2021-07-05,937417.0,843639.0,93555.0,,,Uganda,2022-07-29
UGANDA,2021-09-17,2200321.0,1631481.0,568840.0,,,Uganda,2022-07-29
UGANDA,2021-11-23,4751422.0,3838439.0,912983.0,,,Uganda,2022-07-29
UGANDA,2021-03-26,50059.0,,,,,Uganda,2022-07-29
UGANDA,2021-07-13,1058084.0,872914.0,185170.0,,,Uganda,2022-07-29
UGANDA,2022-04-10,19399787.0,15331112.0,10127207.0,52031.0,,Uganda,2022-07-29
UGANDA,2021-04-27,232631.0,232631.0,,,,Uganda,2022-07-29
MOZAMBIQUE,2021-04-19,70000.0,70000.0,,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-12-03,10799768.0,6685501.0,4114267.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-05-03,141640.0,81025.0,60615.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-05-10,141640.0,81025.0,60615.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-07-19,671336.0,372085.0,299251.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-12-20,13250204.0,7845444.0,5404760.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-09-14,3644423.0,1903730.0,1740693.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-04-27,141640.0,81025.0,60615.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-04-21,70000.0,70000.0,,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-10-08,3677063.0,1903730.0,1773333.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-12-01,10503956.0,6572756.0,3931200.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2022-03-25,26215793.0,14243939.0,13130997.0,297597.0,,Mozambique,2022-07-29
MOZAMBIQUE,2021-04-05,70000.0,,,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-12-13,11730770.0,7105910.0,4624860.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-04-12,70000.0,70000.0,,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-11-29,10145909.0,6422216.0,3723693.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2022-03-10,23563858.0,13251662.0,11787508.0,214446.0,,Mozambique,2022-07-29
MOZAMBIQUE,2021-04-14,70000.0,70000.0,,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-07-13,508184.0,354572.0,153612.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-11-19,8891246.0,5919277.0,2971969.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-11-21,9843638.0,6303859.0,3539774.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2022-03-05,23563858.0,12963020.0,11476420.0,193214.0,,Mozambique,2022-07-29
MOZAMBIQUE,2021-03-26,70000.0,,,,,Mozambique,2022-07-29
MOZAMBIQUE,2022-03-18,26215793.0,14007210.0,12827731.0,243620.0,,Mozambique,2022-07-29
MOZAMBIQUE,2021-06-14,394930.0,320129.0,75882.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-07-12,508184.0,354572.0,153612.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-09-08,2405890.0,1643520.0,762370.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2022-02-15,19788759.0,11857441.0,10244461.0,95125.0,,Mozambique,2022-07-29
MOZAMBIQUE,2021-03-24,70000.0,,,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-06-28,438382.0,341707.0,95979.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-06-08,394312.0,319511.0,75882.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-11-09,6491287.0,4370971.0,2731500.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-06-24,438382.0,341707.0,95979.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-07-05,508184.0,354572.0,153612.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2022-02-21,19788759.0,12195082.0,10521232.0,120745.0,,Mozambique,2022-07-29
MOZAMBIQUE,2022-05-22,31616078.0,14978771.0,14098645.0,353032.0,,Mozambique,2022-07-29
MOZAMBIQUE,2021-08-16,1487560.0,916174.0,571386.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-06-17,394930.0,320129.0,75882.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-08-23,1864229.0,1207600.0,656629.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-08-25,2297842.0,1643520.0,654322.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2022-05-15,31616078.0,14895924.0,13994237.0,346565.0,,Mozambique,2022-07-29
MOZAMBIQUE,2021-05-31,394312.0,319511.0,75882.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-10-31,5871057.0,3667470.0,2203587.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-06-15,394930.0,320129.0,75882.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-06-20,394930.0,323531.0,75882.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2022-05-08,31616078.0,12812859.0,11953217.0,340293.0,,Mozambique,2022-07-29
MOZAMBIQUE,2021-05-26,393105.0,318548.0,74557.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-08-09,1386326.0,907839.0,478487.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2022-04-17,26755788.0,14243939.0,13130997.0,313394.0,,Mozambique,2022-07-29
MOZAMBIQUE,2022-05-01,31616078.0,14816217.0,13891137.0,335314.0,,Mozambique,2022-07-29
MOZAMBIQUE,2022-02-01,19788759.0,10759191.0,9022900.0,6668.0,,Mozambique,2022-07-29
MOZAMBIQUE,2021-06-10,394930.0,320129.0,75882.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-08-20,1864229.0,1207600.0,656629.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-05-18,393105.0,318548.0,74557.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-05-24,393105.0,318548.0,74557.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-11-04,6491287.0,4090781.0,2400506.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2022-01-28,19788759.0,10759191.0,9022900.0,6668.0,,Mozambique,2022-07-29
MOZAMBIQUE,2021-05-21,393105.0,318548.0,74557.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-10-20,3799385.0,1973519.0,1825866.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2022-01-19,19066507.0,10471943.0,8648564.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2022-04-24,26755788.0,14243939.0,13130997.0,335314.0,,Mozambique,2022-07-29
MOZAMBIQUE,2021-07-24,671599.0,372085.0,299514.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-10-06,3644423.0,1903730.0,1740693.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2022-01-10,17031660.0,9643588.0,7388072.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-07-26,691040.0,372085.0,318955.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-08-03,714776.0,394234.0,320542.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-10-26,4305426.0,2367528.0,1937898.0,,,Mozambique,2022-07-29
MOZAMBIQUE,2021-05-12,355995.0,296983.0,74557.0,,,Mozambique,2022-07-29
