COUNTRY,YEAR,INDCODE,DIMENSION2,VALUE,VALUE_NUM,VALUE_EXACT,VALUE_CMT,LEG_COMMENT,LEG_CREATEDBY,LEG_MODIFIEDBY,LEG_DATESTAMP,SOURCE
MCO,2024,POLICY_INTERVAL,OTHER_GROUPS,-4444,,,,,,,,EJRF
NIC,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_ELDERLY_CHRONIC,6_MONTHS,,,,,,,,EJRF
NIC,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_ELDERLY,6_MONTHS,,,,,,,,EJRF
NIC,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_ADULTS,6_MONTHS,,,,,,,,EJRF
NIC,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_ADULTS_CHRONIC,6_MONTHS,,,,,,,,EJRF
NIC,2024,POLICY_INTERVAL,PW,-4444,,,,,,,,EJRF
NIC,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_HCW,6_MONTHS,,,,,,,,EJRF
NIC,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_CA,-4444,,,,,,,,EJRF
NIC,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_CA_CHRONIC,-4444,,,,,,,,EJRF
NIC,2024,POLICY_INTERVAL,OTHER_GROUPS,6_MONTHS,,,,,,,,EJRF
MLT,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_ELDERLY,,,,,,,,,EJRF
MLT,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_ELDERLY_CHRONIC,,,,,,,,,EJRF
MLT,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_ADULTS,-2222,,,,,,,,EJRF
MLT,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_ADULTS_CHRONIC,-2222,,,,,,,,EJRF
MLT,2024,POLICY_VACCINATION_COM,PW,-2222,,,,,,,,EJRF
MLT,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_HCW,-2222,,,,,,,,EJRF
MLT,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_CA,-2222,,,,,,,,EJRF
MLT,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_CA_CHRONIC,-2222,,,,,,,,EJRF
MLT,2024,POLICY_VACCINATION_COM,OTHER_GROUPS,-2222,,,,,,,,EJRF
MCO,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_ELDERLY,-4444,,,,,,,,EJRF
MCO,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_ELDERLY_CHRONIC,-4444,,,,,,,,EJRF
MCO,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_ADULTS,-4444,,,,,,,,EJRF
MCO,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_ADULTS_CHRONIC,-4444,,,,,,,,EJRF
MCO,2024,POLICY_VACCINATION_COM,PW,-4444,,,,,,,,EJRF
MCO,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_HCW,-4444,,,,,,,,EJRF
MCO,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_CA,-4444,,,,,,,,EJRF
MCO,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_CA_CHRONIC,-4444,,,,,,,,EJRF
MCO,2024,POLICY_VACCINATION_COM,OTHER_GROUPS,-4444,,,,,,,,EJRF
NIC,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_ELDERLY_CHRONIC,-4444,,,,,,,,EJRF
NIC,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_ELDERLY,-4444,,,,,,,,EJRF
NIC,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_ADULTS,-4444,,,,,,,,EJRF
NIC,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_ADULTS_CHRONIC,-4444,,,,,,,,EJRF
NIC,2024,POLICY_VACCINATION_COM,PW,-4444,,,,,,,,EJRF
NIC,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_HCW,-4444,,,,,,,,EJRF
NIC,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_CA,-4444,,,,,,,,EJRF
NIC,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_CA_CHRONIC,-4444,,,,,,,,EJRF
NIC,2024,POLICY_VACCINATION_COM,OTHER_GROUPS,-4444,,,,,,,,EJRF
PLW,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_ELDERLY,-4444,,,,,,,,EJRF
PLW,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_ELDERLY_CHRONIC,-4444,,,,,,,,EJRF
PLW,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_ADULTS,-4444,,,,,,,,EJRF
PLW,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_ADULTS_CHRONIC,-4444,,,,,,,,EJRF
PLW,2024,POLICY_VACCINATION,PW,-4444,,,,,,,,EJRF
PLW,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_HCW,-4444,,,,,,,,EJRF
PLW,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_CA,YES,,,,,,,,EJRF
PLW,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_CA_CHRONIC,-4444,,,,,,,,EJRF
PLW,2024,POLICY_VACCINATION,OTHER_GROUPS,-4444,,,,,,,,EJRF
PLW,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_ELDERLY,-4444,,,,,,,,EJRF
PLW,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_ELDERLY_CHRONIC,-4444,,,,,,,,EJRF
PLW,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_ADULTS,-4444,,,,,,,,EJRF
PLW,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_ADULTS_CHRONIC,-4444,,,,,,,,EJRF
PLW,2024,POLICY_REVACCINATION,PW,-4444,,,,,,,,EJRF
PLW,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_HCW,-4444,,,,,,,,EJRF
PLW,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_CA,NO,,,,,,,,EJRF
PLW,2024,POLICY_REVACCINATION,POLICY_RECOMMENDATION_CA_CHRONIC,-4444,,,,,,,,EJRF
PLW,2024,POLICY_REVACCINATION,OTHER_GROUPS,-4444,,,,,,,,EJRF
PLW,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_ELDERLY,-4444,,,,,,,,EJRF
PLW,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_ELDERLY_CHRONIC,-4444,,,,,,,,EJRF
PLW,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_ADULTS,-4444,,,,,,,,EJRF
PLW,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_ADULTS_CHRONIC,-4444,,,,,,,,EJRF
PLW,2024,POLICY_INTERVAL,PW,-4444,,,,,,,,EJRF
PLW,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_HCW,-4444,,,,,,,,EJRF
PLW,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_CA,-4444,,,,,,,,EJRF
PLW,2024,POLICY_INTERVAL,POLICY_RECOMMENDATION_CA_CHRONIC,-4444,,,,,,,,EJRF
PLW,2024,POLICY_INTERVAL,OTHER_GROUPS,-4444,,,,,,,,EJRF
PLW,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_ELDERLY,-4444,,,,,,,,EJRF
PLW,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_ELDERLY_CHRONIC,-4444,,,,,,,,EJRF
PLW,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_ADULTS,-4444,,,,,,,,EJRF
PLW,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_ADULTS_CHRONIC,-4444,,,,,,,,EJRF
PLW,2024,POLICY_VACCINATION_COM,PW,-4444,,,,,,,,EJRF
PLW,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_HCW,-4444,,,,,,,,EJRF
PLW,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_CA,-4444,,,,,,,,EJRF
PLW,2024,POLICY_VACCINATION_COM,POLICY_RECOMMENDATION_CA_CHRONIC,-4444,,,,,,,,EJRF
PLW,2024,POLICY_VACCINATION_COM,OTHER_GROUPS,-4444,,,,,,,,EJRF
SMR,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_ELDERLY_CHRONIC,YES,,,,,,,,EJRF
SMR,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_ADULTS,NO,,,,,,,,EJRF
SMR,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_ADULTS_CHRONIC,NO,,,,,,,,EJRF
SMR,2024,POLICY_VACCINATION,PW,NO,,,,,,,,EJRF
SMR,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_HCW,NO,,,,,,,,EJRF
SMR,2024,POLICY_VACCINATION,POLICY_RECOMMENDATION_CA,NO,,,,,,,,EJRF
