COUNTRY,YEAR,VACCINECODE,INTERVENTION,SCHEDULEROUNDS,TARGETPOP,GEOAREA,AGEADMINISTERED,SUBNATIONAL_TARGET,SOURCECOMMENT,COMMENTORIGINAL,LEG_COMMENT,LEG_CREATEDBY,LEG_MODIFIEDBY,LEG_DATESTAMP
SLV,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions",,,,,
SLV,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
SLV,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
CZE,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
CZE,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions",,,,,
CZE,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
CZE,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
CZE,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
RUS,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
RUS,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Adults with chronic conditions, older adults with chronic conditions",,,,,
BTN,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions",,,,,
BTN,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
BTN,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
BTN,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
CIV,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
CIV,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
CIV,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions",,,,,
CIV,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
CIV,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
SAU,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,All older adults,,,,,
SAU,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
SAU,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Adults with chronic conditions, older adults with chronic conditions, other groups",,,,,
SAU,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
HKG,2024,COVID19,,1,RISKGROUPS,NATIONAL,,,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions, other groups",,Updated eJRF 2024 received 2/Jun/2025.,,,
HKG,2024,COVID19,,1,PW,NATIONAL,,,Pregnant women,,,,,
HKG,2024,COVID19,,1,ADULTS,NATIONAL,,,"All adults, all older adults",,,,,
HKG,2024,COVID19,,1,HW,NATIONAL,,,Health and care workers,,,,,
HKG,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
DNK,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,All older adults,,,,,
DNK,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
DNK,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions, other groups",,,,,
IRQ,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
IRQ,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
IRQ,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Adults with chronic conditions, older adults with chronic conditions",,,,,
IRQ,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
DMA,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
DMA,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
DMA,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children with chronic conditions, adults with chronic conditions, older adults with chronic conditions",,,,,
DMA,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
DMA,2024,COVID19,,1,,NATIONAL,,-9999.000000000,All children and adolescents,,,,,
SSD,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
SSD,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
SSD,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Adults with chronic conditions, older adults with chronic conditions",,,,,
SSD,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
PAK,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,Updated eJRF 2024 received 12/Jun/2025,,,
ISL,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
ISL,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,All older adults,,,,,
ISL,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions",,,,,
ISL,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
ESP,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
ESP,2024,COVID19,,1,PW,NATIONAL,,-9999.000000000,Pregnant women,,,,,
ESP,2024,COVID19,,1,RISKGROUPS,NATIONAL,,-9999.000000000,"Children and adolescents with chronic conditions, adults with chronic conditions, older adults with chronic conditions",,,,,
ESP,2024,COVID19,,1,HW,NATIONAL,,-9999.000000000,Health and care workers,,,,,
BHR,2024,COVID19,,1,ADULTS,NATIONAL,,-9999.000000000,"All adults, all older adults",,,,,
