"a_iso","prod_inuse","intro_date","cov_total_fv_per100_whodb"
"STP",2,2021-03-15,47.257
"SAU",10,2021-01-06,72.761
"SEN",3,2021-02-23,7.543
"SRB",5,2020-12-23,47.949
"SYC",4,2021-01-10,82.945
"SLE",2,2021-03-15,35.322
"SGP",4,2020-12-30,87.583
"XBA",NA,NA,53.711
"SXM",3,2021-02-22,62.166
"SVK",7,2020-12-23,51.127
"SVN",6,2020-12-23,57.33
"SLB",4,2021-03-23,31.682
"SOM",11,2021-03-16,37.363
"ZAF",2,2021-02-17,35.32
"SSD",2,2021-04-06,18.834
"ESP",4,2020-12-30,79.204
"LKA",6,2021-01-29,68.896
"SDN",11,2021-03-09,16.49
"SUR",5,2021-02-23,40.55
"SWE",5,2020-12-23,71.354
"CHE",6,2020-12-23,66.463
"SYR",11,2021-04-01,12.029
"TJK",6,2021-03-24,53.688
"THA",8,2021-02-28,77.255
"GBR",3,2020-12-21,74.586
"TLS",4,2021-04-07,58.173
"TGO",1,2021-03-10,17.551
"TKL",1,2021-07-20,110.667
"TON",2,2021-04-14,72.686
"TTO",5,2021-02-17,51.294
"TUN",10,2021-03-13,54.024
"TUR",3,NA,63.943
"TKM",7,2021-02-24,61.165
"TCA",1,2021-01-11,78.227
"TUV",1,2021-04-13,79.054
"UGA",5,2021-03-10,27.908
"UKR",6,2021-02-24,34.65
"ARE",11,NA,99.008
"TZA",3,2021-07-28,43.188
"USA",4,2020-12-14,67.989
"URY",3,2021-02-27,83.32
"UZB",8,2021-04-28,52.374
"VUT",3,2021-06-02,42.749
"VEN",6,2021-02-22,50.244
"VNM",6,2021-03-08,86.777
"WLF",1,2021-03-19,62.147
"YEM",11,2021-04-20,2.276
"ZMB",3,2021-04-14,44.844
"ZWE",4,2021-02-18,33.154
